SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Location,HouseholdSize,PrimaryDevice,PaymentSubscriptionPlan,BillingCycle,IsAutoRenew,TenureDays,DaysSinceLastActivity,TotalLogins,TotalWatchTime,AvgWatchTime,LoginFrequency,ActivityRatio,Actual_Churned,LR_Churn_Probability,XGB_Churn_Probability,LR_Prediction,XGB_Prediction,Segment,SegmentName,Strategy,Offer,Channel
Basic,36-50,0,0,Movies,North,4,Smart TV,Basic,Quarterly,True,75,47,42,1393,15.307692307692308,0.56,0.875,0,0.0228555479126193,1.4694328e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,Sports,East,5,Tablet,Basic,Monthly,False,86,47,55,2087,22.93406593406593,0.6395348837209303,1.1458333333333333,0,0.0027614478551903,7.544148e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,62,Sports,North,3,Tablet,Standard,Quarterly,True,114,47,56,4123,45.30769230769231,0.4912280701754385,1.1666666666666667,0,0.000418639520798,5.100906e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,64,Documentaries,Central,4,Mobile,Standard,Annually,True,116,47,55,3840,42.1978021978022,0.4741379310344827,1.1458333333333333,0,0.0001244857359443,1.5925287e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,87,Documentaries,North,2,Smart TV,Standard,Quarterly,True,56,47,64,4909,53.94505494505494,1.1428571428571428,1.3333333333333333,0,0.0718524501229957,0.00013068192,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,1,39,Movies,East,3,Smart TV,Basic,Monthly,True,81,56,41,1431,17.451219512195124,0.5061728395061729,0.7192982456140351,0,0.1601893240895279,1.6692697e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,0,0,TV Shows,Central,4,Mobile,Basic,Monthly,True,98,47,47,1717,18.86813186813187,0.4795918367346938,0.9791666666666666,0,0.0014764828425719,7.812748e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Sports,East,3,Tablet,Basic,Annually,True,122,47,45,1456,16.0,0.3688524590163934,0.9375,0,0.0001308360718948,6.939166e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,0,0,Movies,South,1,Tablet,Standard,Monthly,True,120,47,61,4362,47.934065934065934,0.5083333333333333,1.2708333333333333,0,0.0001177386000622,2.2820525e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,Movies,East,2,Mobile,Basic,Quarterly,True,59,47,48,1749,19.21978021978022,0.8135593220338984,1.0,0,0.0887264243722797,1.3217025e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,40,Documentaries,East,4,Web Browser,Standard,Monthly,True,126,47,66,4821,52.97802197802198,0.5238095238095238,1.375,0,7.437275298659385e-05,3.2711035e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,36-50,1,15,Sports,East,3,Tablet,Basic,Annually,True,111,47,45,1456,16.0,0.4054054054054054,0.9375,0,0.000633887142698,2.6260866e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,70,Documentaries,Central,4,Mobile,Standard,Annually,True,54,47,55,3840,42.1978021978022,1.0185185185185186,1.1458333333333333,0,0.0952742677242893,1.9593577e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,36-50,1,30,Movies,North,1,Mobile,Standard,Annually,True,137,47,59,4321,47.48351648351648,0.4306569343065693,1.2291666666666667,0,1.649747053714981e-05,4.475556e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,TV Shows,South,3,Smart TV,Basic,Monthly,True,56,47,46,1694,18.615384615384617,0.8214285714285714,0.9583333333333334,0,0.0975991669424853,3.5576704e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,36-50,1,170,Sports,North,5,Mobile,Premium,Monthly,True,56,47,60,7281,80.01098901098901,1.0714285714285714,1.25,0,0.189959475248828,0.00010834712,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,36-50,1,55,Movies,Central,2,Smart TV,Standard,Monthly,False,103,47,66,4895,53.79120879120879,0.6407766990291263,1.375,0,0.0007138435392894,2.7687383e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,0,0,Documentaries,North,2,Mobile,Standard,Quarterly,True,95,47,63,4924,54.10989010989011,0.6631578947368421,1.3125,0,0.0010344388416455,9.625327e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,169,TV Shows,South,3,Tablet,Premium,Annually,True,69,47,53,6828,75.03296703296704,0.7681159420289855,1.1041666666666667,0,0.1299406903257873,1.2115856e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,TV Shows,East,2,Mobile,Basic,Monthly,True,87,47,49,1829,20.0989010989011,0.5632183908045977,1.0208333333333333,0,0.0046927158862239,3.1106437e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,68,Documentaries,South,3,Smart TV,Standard,Quarterly,True,118,47,67,5082,55.84615384615385,0.5677966101694916,1.3958333333333333,0,7.207187439167215e-05,5.990258e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,1,35,Sports,West,5,Mobile,Basic,Monthly,True,77,47,44,1555,17.087912087912088,0.5714285714285714,0.9166666666666666,0,0.0118713291983934,5.4246088e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,18-25,1,11,Movies,South,5,Smart TV,Basic,Monthly,True,104,47,47,1469,16.142857142857142,0.4519230769230769,0.9791666666666666,0,0.0006693975788173,4.9964974e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,95,Documentaries,North,1,Tablet,Standard,Monthly,True,89,50,57,4565,51.875,0.6404494382022472,1.1176470588235294,0,0.025766255710429,3.640037e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,112,Documentaries,North,3,Mobile,Standard,Monthly,True,72,47,62,4806,52.81318681318681,0.8611111111111112,1.2916666666666667,0,0.0170393243743404,1.0224944e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,1,51,Sports,East,3,Tablet,Basic,Quarterly,False,97,86,30,1114,21.423076923076923,0.3092783505154639,0.3448275862068966,0,0.8815395529014233,0.031187873,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,26-35,1,44,Sports,West,5,Smart TV,Standard,Quarterly,True,117,47,63,5058,55.582417582417584,0.5384615384615384,1.3125,0,4.773771422128176e-05,1.8555185e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,33,Movies,East,3,Mobile,Standard,Monthly,True,72,47,63,4590,50.43956043956044,0.875,1.3125,0,0.0211087505524533,5.4210744e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,0,0,Sports,South,4,Smart TV,Basic,Quarterly,True,124,47,42,1521,16.714285714285715,0.3387096774193548,0.875,0,6.582770542558557e-05,2.6287628e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Documentaries,North,1,Tablet,Basic,Monthly,True,122,47,46,1655,18.186813186813183,0.3770491803278688,0.9583333333333334,0,0.0002772848361173,9.3171915e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,36-50,1,175,Documentaries,Central,3,Smart TV,Premium,Quarterly,True,85,47,59,6954,76.41758241758242,0.6941176470588235,1.2291666666666667,0,0.0182029037873042,1.09381986e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Documentaries,East,4,Tablet,Basic,Annually,True,131,47,47,1696,18.63736263736264,0.3587786259541984,0.9791666666666666,0,3.545319717366093e-05,9.628414e-12,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Movies,North,4,Smart TV,Basic,Quarterly,True,53,47,42,1393,15.307692307692308,0.7924528301886793,0.875,0,0.2013269474472902,0.000571903,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,74,Documentaries,East,2,Tablet,Standard,Monthly,True,117,47,66,4997,54.91208791208791,0.5641025641025641,1.375,0,0.00022722070759,1.2490987e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,58,TV Shows,East,3,Tablet,Standard,Monthly,True,68,47,57,3774,41.472527472527474,0.8382352941176471,1.1875,0,0.0647817205374373,1.0312635e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,36-50,0,0,Sports,North,4,Tablet,Premium,Quarterly,True,56,47,63,7882,86.61538461538461,1.125,1.3125,0,0.1786744364777263,0.00011984494,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,0,0,Movies,North,2,Smart TV,Basic,Monthly,True,126,47,44,1426,15.67032967032967,0.3492063492063492,0.9166666666666666,0,8.962572221603998e-05,3.0254896e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,Movies,East,2,Mobile,Basic,Quarterly,True,73,47,48,1749,19.21978021978022,0.6575342465753424,1.0,0,0.0210467679107477,1.4521279e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,93,Documentaries,East,3,Web Browser,Standard,Quarterly,True,73,47,66,5132,56.3956043956044,0.9041095890410958,1.375,0,0.0282755781536713,5.2688523e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,0,0,Documentaries,West,2,Mobile,Standard,Annually,True,57,47,52,3913,43.0,0.912280701754386,1.0833333333333333,0,0.0578928508012854,3.258568e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,51+,1,49,Movies,North,1,Web Browser,Standard,Annually,True,95,47,65,4587,50.40659340659341,0.6842105263157895,1.3541666666666667,0,0.0016047480840678,9.231866e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,Sports,East,3,Tablet,Basic,Monthly,True,88,83,27,892,16.21818181818182,0.3068181818181818,0.3214285714285714,0,0.8788263616675932,0.0001805654,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Basic,36-50,0,0,TV Shows,East,4,Mobile,Basic,Annually,True,83,47,32,1028,11.296703296703296,0.3855421686746988,0.6666666666666666,0,0.0208799208345316,1.3751287e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,0,0,Sports,North,3,Mobile,Standard,Annually,True,98,47,64,4880,53.62637362637363,0.6530612244897959,1.3333333333333333,0,0.000337387495417,1.742669e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,1,27,Movies,South,5,Smart TV,Basic,Monthly,True,135,47,47,1469,16.142857142857142,0.3481481481481481,0.9791666666666666,0,2.2364558456202e-05,6.7881985e-12,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,0,0,Documentaries,South,3,Mobile,Standard,Monthly,True,50,47,56,4150,45.604395604395606,1.12,1.1666666666666667,0,0.1615346779368437,0.0002812272,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,1,23,Movies,Central,4,Mobile,Basic,Monthly,False,89,47,45,1457,16.01098901098901,0.5056179775280899,0.9375,0,0.0065569916824574,9.243499e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,172,Sports,North,4,Web Browser,Premium,Annually,True,59,47,58,6622,72.76923076923077,0.9830508474576272,1.2083333333333333,0,0.1485233180556841,7.806331e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,21,TV Shows,East,2,Mobile,Basic,Monthly,True,122,47,49,1829,20.0989010989011,0.4016393442622951,1.0208333333333333,0,0.0001462719655549,1.00209716e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,115,Movies,Central,2,Smart TV,Standard,Annually,True,113,47,62,4607,50.62637362637363,0.5486725663716814,1.2916666666666667,0,0.0001455822268546,1.4002169e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,Sports,South,4,Smart TV,Basic,Quarterly,True,131,47,42,1521,16.714285714285715,0.3206106870229007,0.875,0,3.0377972368665225e-05,1.4413282e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,0,0,Sports,Central,4,Mobile,Basic,Quarterly,True,91,47,50,1968,21.626373626373628,0.5494505494505495,1.0416666666666667,0,0.001714930841856,6.584093e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,1,53,Movies,South,5,Smart TV,Basic,Annually,True,130,47,45,1784,19.60439560439561,0.3461538461538461,0.9375,0,2.662519614171837e-05,5.1808622e-12,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Documentaries,North,1,Tablet,Basic,Monthly,True,66,47,46,1655,18.186813186813183,0.696969696969697,0.9583333333333334,0,0.1134150927426741,1.5903523e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,0,0,Documentaries,South,5,Mobile,Standard,Quarterly,True,67,47,64,4634,50.92307692307692,0.9552238805970148,1.3333333333333333,0,0.0093271583388144,3.8657603e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,1,19,Sports,North,2,Smart TV,Basic,Annually,True,100,47,44,1574,17.296703296703296,0.44,0.9166666666666666,0,0.0009938839678041,9.975955e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,32,Sports,East,4,Smart TV,Standard,Quarterly,False,49,47,59,4411,48.472527472527474,1.2040816326530612,1.2291666666666667,0,0.1426009983596123,6.5808113e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,1,116,Movies,East,2,Smart TV,Standard,Quarterly,True,123,47,57,4518,49.64835164835165,0.4634146341463415,1.1875,0,0.0001623429930174,1.667737e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,1,29,Movies,East,2,Mobile,Basic,Quarterly,True,114,47,48,1749,19.21978021978022,0.4210526315789473,1.0,0,0.0003530986166446,3.2651956e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,18-25,0,0,Sports,East,4,Tablet,Basic,Monthly,True,55,47,40,1472,16.175824175824175,0.7272727272727273,0.8333333333333334,0,0.2969459798267585,0.0011750461,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,TV Shows,South,3,Smart TV,Basic,Monthly,True,129,47,46,1694,18.615384615384617,0.3565891472868217,0.9583333333333334,0,3.69593461622842e-05,2.054346e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,37,Movies,Central,2,Smart TV,Standard,Monthly,False,114,47,66,4895,53.79120879120879,0.5789473684210527,1.375,0,0.0002096725885068,8.143139e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,1,67,Documentaries,West,5,Smart TV,Standard,Annually,True,97,47,65,4903,53.87912087912088,0.6701030927835051,1.3541666666666667,0,0.0003800016509493,8.63884e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,36-50,1,121,Movies,Central,2,Smart TV,Premium,Monthly,False,113,67,51,6473,91.16901408450704,0.4513274336283185,0.75,0,0.1284862023994805,6.156899e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,0,0,Movies,North,3,Web Browser,Standard,Monthly,True,120,47,61,4883,53.65934065934066,0.5083333333333333,1.2708333333333333,0,0.0001504954617272,6.779106e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,26-35,1,137,Documentaries,North,3,Tablet,Premium,Quarterly,True,67,47,66,8031,88.25274725274726,0.9850746268656716,1.375,0,0.0840147460730092,1.3033326e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,1,59,Documentaries,North,5,Smart TV,Basic,Monthly,True,137,47,49,1608,17.67032967032967,0.3576642335766423,1.0208333333333333,0,1.6626103143694137e-05,8.835535e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Sports,East,3,Tablet,Basic,Annually,True,107,47,45,1456,16.0,0.4205607476635514,0.9375,0,0.0006831249606954,3.893583e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,104,Movies,North,4,Smart TV,Standard,Monthly,True,83,47,66,4556,50.06593406593407,0.7951807228915663,1.375,0,0.0027615102410759,2.7500977e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,36-50,1,41,Movies,North,1,Mobile,Standard,Annually,True,95,47,59,4321,47.48351648351648,0.6210526315789474,1.2291666666666667,0,0.0016848422832074,4.5999e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,1,110,Movies,North,1,Mobile,Standard,Annually,True,49,47,59,4321,47.48351648351648,1.2040816326530612,1.2291666666666667,0,0.2035262350715291,0.0014163987,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,0,0,TV Shows,Central,4,Web Browser,Basic,Monthly,True,96,47,50,1971,21.65934065934066,0.5208333333333334,1.0416666666666667,0,0.0026343504149804,8.804052e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,103,Sports,North,4,Mobile,Premium,Annually,True,110,47,69,8129,89.32967032967034,0.6272727272727273,1.4375,0,0.0001883644720505,1.34463e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,1,119,Movies,North,3,Web Browser,Standard,Monthly,True,109,47,61,4883,53.65934065934066,0.5596330275229358,1.2708333333333333,0,0.0008167862548761,8.323799e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,TV Shows,East,2,Smart TV,Basic,Quarterly,True,126,47,46,1506,16.54945054945055,0.365079365079365,0.9583333333333334,0,8.420667520505684e-05,1.0883923e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,104,Movies,East,4,Mobile,Standard,Quarterly,True,124,47,71,5348,58.76923076923077,0.5725806451612904,1.4791666666666667,0,3.6393640862489536e-05,1.9406995e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,0,0,Documentaries,Central,4,Mobile,Standard,Annually,True,94,47,65,5118,56.24175824175824,0.6914893617021277,1.3541666666666667,0,0.0007092241010791,1.054095e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,1,69,Sports,North,2,Web Browser,Standard,Quarterly,True,131,47,57,3948,43.38461538461539,0.4351145038167939,1.1875,0,5.7443024917524016e-05,1.250606e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,36-50,1,94,Movies,North,4,Smart TV,Premium,Annually,True,115,47,63,7154,78.61538461538461,0.5478260869565217,1.3125,0,0.0002243591657446,3.4657602e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,0,0,Movies,Central,3,Web Browser,Standard,Annually,True,127,47,65,5071,55.72527472527472,0.5118110236220472,1.3541666666666667,0,2.710625018218744e-05,4.345626e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,36-50,1,169,Movies,Central,2,Smart TV,Premium,Monthly,False,68,67,51,6473,91.16901408450704,0.75,0.75,0,0.9550635766200852,1.0901775e-06,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Basic,26-35,0,0,Sports,South,3,Mobile,Basic,Annually,True,99,47,38,1445,15.87912087912088,0.3838383838383838,0.7916666666666666,0,0.0009613128246288,4.448389e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,1,30,TV Shows,East,5,Smart TV,Basic,Annually,True,49,47,55,2034,22.35164835164835,1.1224489795918366,1.1458333333333333,0,0.1175604574738974,2.1634172e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Movies,North,4,Smart TV,Basic,Monthly,True,61,47,39,1224,13.45054945054945,0.639344262295082,0.8125,0,0.0965652857838327,4.2732187e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,0,0,TV Shows,East,2,Mobile,Standard,Annually,True,66,47,65,5067,55.68131868131868,0.9848484848484848,1.3541666666666667,0,0.0181112549535053,1.1539017e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,55,TV Shows,West,4,Web Browser,Basic,Quarterly,True,70,47,58,2099,23.065934065934066,0.8285714285714286,1.2083333333333333,0,0.0148064490318665,9.740592e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Sports,East,5,Smart TV,Basic,Annually,True,129,47,36,1262,13.868131868131869,0.2790697674418604,0.75,0,6.107310559795531e-05,1.5719501e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,30,Documentaries,North,5,Tablet,Standard,Quarterly,True,92,47,67,4873,53.54945054945055,0.7282608695652174,1.3958333333333333,0,0.001649137400766,2.7678408e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
